公共数据开放主体名称,更新频率,开放属性,数据格式,数据集领域,数据集名称,数据项,数据摘要,序号
白云区国家档案馆,每年,无条件开放,xls,机构团体,白云区国家档案馆查档指引,年份、区域、地址、办公时间、服务网址服务邮箱、邮编号码,本数据为白云区国家档案馆基本信息。,28
白云区国家档案馆,每年,无条件开放,xls,机构团体,白云区档案馆预约查档公告,预约途径、预约时间、预约电话、传真邮箱、通讯地址,本数据为白云区国家档案馆基本信息。,29
白云区国家档案馆,每年,无条件开放,xls,机构团体,白云区国家档案馆查阅档案须知,已开放档案查阅、未开放档案查阅、婚姻档案查阅、律师查阅、注意事项、联系方式、查阅档案时间,本数据为白云区国家档案馆基本信息。,30
白云区气象局,每年,无条件开放,xls、xml、json、csv,资源环境,白云区气候公报,文件名称、文件大小、文件内容、更新时间,白云区气候公报。包括文件名称、文件大小、文件内容、更新时间等信息。,31
白云区气象局,实时,无条件开放,xls、xml、json、csv,资源环境,白云区气象预警信息,发布时间、区域代码、预警信号类别、预警信号等级、更新时间,白云区发布的气象预警信号信息，包括：发布时间、区域代码、预警信号类别、预警信号等级、更新时间等内容。,32
白云区气象局,不定时,无条件开放,xls、xml、json、csv,资源环境,白云区未来七天天气预报信息,区域名称、前12小时图标、前12小时天气状况、前12小时风向、前12小时风力、预报时效、后12小时图标、后12小时天气状况、后12小时风向、后12小时风力、最高温度、最低温度,白云区未来七天天气预报信息。包括：区域名称、前12小时图标、前12小时天气状况、前12小时风向、前12小时风力、预报时效、后12小时图标、后12小时风向、后12小时风力、最高温度、最低温度等内容。,33
白云区气象局,不定时,无条件开放,xls、xml、json、csv,资源环境,白云区气象预警防御指引信息,预警名称、预警图标、防御指引,白云区气象预警防御指引。包括预警名称、预警图标、防御指引等信息。,34
白云区气象局,每天,无条件开放,xls、xml、json、csv,资源环境,白云区生活指数信息,指数名称、指数等级、指数说明,白云区生活指数信息。包括：指数名称、指数等级、指数说明等内容。,35
白云区气象局,每天,无条件开放,xls、xml、json、csv,资源环境,白云区未来30天预报信息,起报时间、最低温度、最高温度、天气状况、预报时间,白云区未来30天天气预报信息。包括：起报时间、最低温度、最高温度、天气状况、预报时间,36
白云区气象局,每6分钟,无条件开放,xls、xml、json、csv,资源环境,白云区未来3小时气象交通拥堵风险预测信息,路段名称、路段归属、所属镇街、所属村、地点、位置、频率单位类型，(1-分钟 2-小时 3-天)、频率值、预测起始时间、统计时间、风险等级 1级~4级、方向、预测降雨量、模型运行时间、创建时间,白云区未来3小时气象交通拥堵风险预测信息。包括：路段名称、路段归属、所属镇街、所属村、地点、位置、频率单位类型、频率值、预测起始时间等。数据来源于白云区智慧“气象+”城市赋能平台预测。,37
